us,area,settore,periodo_iniziale,fase_iniziale,periodo_finale,fase_finale,datazione
114,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
115,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
116,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
117,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
119,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
120,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
121,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
122,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
124,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
125,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
127,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
128,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
129,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
130,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
131,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
132,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
134,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
135,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
136,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
137,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
138,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
139,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
140,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
141,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
142,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
200,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
201,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
202,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
203,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
204,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
205,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
206,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
207,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
208,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
209,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
210,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
211,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
212,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
213,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
214,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
215,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
216,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
217,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
218,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
219,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
220,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
221,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
223,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
225,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
226,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
227,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
228,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
229,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
230,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
231,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
232,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
233,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
234,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
235,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
236,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
301,1,0-1-2,1,1,1,1,Islamic/Contemporary (630 CE : present)
302,1,0,1,1,1,1,Islamic/Contemporary (630 CE : present)
309,1,1,1,1,1,1,Islamic/Contemporary (630 CE : present)
322,1,1,1,1,1,1,Islamic/Contemporary (630 CE : present)
323,1,5-6-7,1,1,1,1,Islamic/Contemporary (630 CE : present)
343,1,2,1,1,1,1,Islamic/Contemporary (630 CE : present)
363,1,2,1,1,1,1,Islamic/Contemporary (630 CE : present)
371,1,3,1,1,1,1,Islamic/Contemporary (630 CE : present)
393,1,A,1,1,2,2,Islamic/Contemporary (630 CE : present) / Iron Age II - Settlement expansion and metallurgical development (-800 : -600)
398,1,2,1,1,1,1,Islamic/Contemporary (630 CE : present)
443,1,2,1,1,1,1,Islamic/Contemporary (630 CE : present)
453,1,A,1,1,"","",Islamic/Contemporary (630 CE : present) / 
455,1,4,1,1,"","",Islamic/Contemporary (630 CE : present) / 
578,1,5,1,1,1,1,Islamic/Contemporary (630 CE : present)
592,1,4,1,1,1,1,Islamic/Contemporary (630 CE : present)
606,1,A,1,1,1,1,Islamic/Contemporary (630 CE : present)
654,1,6,1,1,"","",Islamic/Contemporary (630 CE : present) / 
659,1,6,1,1,1,1,Islamic/Contemporary (630 CE : present)
660,1,6,1,1,1,1,Islamic/Contemporary (630 CE : present)
662,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
683,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
692,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
706,1,"",1,1,1,1,Islamic/Contemporary (630 CE : present)
3130,1,2,1,1,1,1,Islamic/Contemporary (630 CE : present)
3210,1,5-6-7,1,1,1,1,Islamic/Contemporary (630 CE : present)
